_id,Fiscal Year,Fund ID,Fund Name,Fund Type,Department ID,Department Name,Department Type,GL Account,GL Description,GL Category,Revenue or Expenditure,Current,Adopted,Actuals
1,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,520108,Information Resource Services,Other Services and Charges,Expenditures,25000,25000,0
2,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520109,Medical- Dental & Laboratory Services,Other Services and Charges,Expenditures,100,100,0
3,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,520110,Management Consulting Services,Other Services and Charges,Expenditures,8960,8960,0
4,2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520118,Refuse Disposal,Other Services and Charges,Expenditures,17500,17500,0
5,2023,1000,General Fund,General Funds,1000,Houston Police Department-HPD,Public Safety,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,147018,147018,0
6,2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,15000,25289,0
7,2023,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520120,Communications Equipment Services,Other Services and Charges,Expenditures,4000,4000,0
8,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,520126,Construction Site Work Services,Other Services and Charges,Expenditures,25000,25000,0
9,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,520520,Printing & Reproduction Services,Other Services and Charges,Expenditures,57000,57000,0
10,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,520605,Advertising Services,Other Services and Charges,Expenditures,250,250,0
11,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520765,Membership & Professional Fees,Other Services and Charges,Expenditures,500,500,0
12,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520805,Education & Training,Other Services and Charges,Expenditures,4000,4000,0
13,2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,521405,Building Maintenance Services,Other Services and Charges,Expenditures,2000,2000,0
14,2023,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,521725,Other Rental,Other Services and Charges,Expenditures,1000,1000,0
15,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,521730,Parking Space Rental,Other Services and Charges,Expenditures,55664,55664,0
16,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,521905,Legal Services,Other Services and Charges,Expenditures,1000,1000,0
17,2023,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,522305,Freight Charges,Other Services and Charges,Expenditures,500,500,0
18,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522430,Misc Other Services & Charges,Other Services and Charges,Expenditures,200,200,0
19,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,522815,Intfd Print Shop Services,Other Services and Charges,Expenditures,2500,2500,0
20,2023,1000,General Fund,General Funds,3400,Library,Human & Cultural Services,522815,Intfd Print Shop Services,Other Services and Charges,Expenditures,1500,1500,0
21,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,522844,Interfund Vehicle Services - Tires,Other Services and Charges,Expenditures,398,398,0
22,2023,1000,General Fund,General Funds,1100,Dept of Neighborhoods (DON),Human & Cultural Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,9952,9952,0
23,2023,1000,General Fund,General Funds,1600,Municipal Courts Department,Public Safety,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,107450,107450,0
24,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,600,600,0
25,2023,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,56163,56163,0
26,2023,1000,General Fund,General Funds,3400,Library,Human & Cultural Services,522735,Interfund Parking - HF,Other Services and Charges,Expenditures,90000,90000,0
27,2023,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520132,Contracts/Sponsorships,Other Services and Charges,Expenditures,40000,40000,0
28,2023,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,500,500,0
29,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,520510,Mail/Delivery Services,Other Services and Charges,Expenditures,200,200,0
30,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,520515,Print Shop Services,Other Services and Charges,Expenditures,854,854,0
31,2023,1000,General Fund,General Funds,1200,Houston Fire Department (HFD),Public Safety,520710,State/Federal Inspection Fees,Other Services and Charges,Expenditures,3140,3140,0
32,2023,1000,General Fund,General Funds,2000,Houston Public Works - HPW,Development & Maintenance Services,522780,Interfund Metro Passes,Other Services and Charges,Expenditures,2100,2100,0
33,2023,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,522780,Interfund Metro Passes,Other Services and Charges,Expenditures,2268,2268,0
34,2023,1000,General Fund,General Funds,2100,Solid Waste Management,Development & Maintenance Services,520121,Application Services,Other Services and Charges,Expenditures,1199776,0,0
35,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,521407,Elevator Repair and Replacement,Other Services and Charges,Expenditures,16643,16643,0
36,2023,1000,General Fund,General Funds,2500,General Services Department,Development & Maintenance Services,521735,Hobby Parking Space Rental,Other Services and Charges,Expenditures,35188,35188,0
37,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520113,Photographic Services,Other Services and Charges,Expenditures,25000,0,0
38,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520116,Parking Services Contract,Other Services and Charges,Expenditures,100,100,0
39,2023,1000,General Fund,General Funds,3600,Parks & Recreation,Human & Cultural Services,520119,Computer Eq/SW Mnt,Other Services and Charges,Expenditures,10300,10300,0
